date_time,PM10,PM2.5
20180401,72.48,35.32
20180402,71.48,28.32
20180403,69.12,21.04
20180404,13,6.92
20180405,6.52,4.08
20180406,120.6,26.56
20180407,49.68,22.24
20180408,27.36,14.68
20180409,37.92,24.4
20180410,45.92,19.6
20180411,63.8,24.6
20180412,46.48,14.96
20180413,35.4,14.24
20180414,19.96,10.32
20180415,75.56,21.44
20180416,37.44,22.08
20180417,59.32,30
20180418,65.52,33.16
20180419,79.44,38.32
20180420,104,54.88
20180421,77.28,43.64
20180422,38.48,20.84
20180423,9.24,6.8
20180424,7.36,3.56
20180425,32.8,22.88
20180426,46.16,31.76
20180427,54.32,37.2
20180428,61.12,40.2
20180429,52.64,30.08
20180430,79.28,56.76
20180501,58.76,44.68
20180502,49.52,39.6
20180503,27.8,12.52
20180504,44.08,16.24
20180505,40.48,19.04
20180506,13.68,8.88
20180507,33.44,16.64
20180508,18.68,7.12
20180509,20.52,7.52
20180510,40.72,22.04
20180511,59.08,38.76
20180512,30.92,20.44
20180513,22.8,16.32
20180514,71.32,54.2
20180515,73.32,51.84
20180516,32.76,23.24
20180517,14.52,10.2
20180518,12.36,5.12
20180519,10.8,4.2
20180520,10.64,4.96
20180521,9,4.56
20180522,35.96,23.44
20180523,48.12,10.92
20180524,97.48,25.12
20180525,93.36,34.12
20180526,80.96,38.28
20180527,65.88,27.48
20180528,49.6,23.6
20180529,40.92,26.44
20180530,43.24,26.28
20180531,41.56,23.6
20180601,41.88,22.72
20180602,48.48,30.36
20180603,31.96,20.56
20180604,40.96,26
20180605,39.56,27.48
20180606,48.32,34.76
20180607,46.72,32.84
20180608,35.32,22.88
20180609,39.12,24.88
20180610,9.4,4.64
20180611,10.48,4.68
20180612,15.36,8
20180613,28.96,19.32
20180614,29.68,20.56
20180615,14.6,6.92
20180616,22.48,11.84
20180617,52.2,35.2
20180618,45.32,30.08
20180619,40.28,27.76
20180620,42.88,30.24
20180621,39.12,25.24
20180622,47.92,31.92
20180623,39.36,23.6
20180624,58.48,38.24
20180625,59.12,36.92
20180626,60.12,44.04
20180627,27.28,19.8
20180628,22.4,15.36
20180629,38.16,27.12
20180630,53.96,38.64
